Запрос,Цена,Дата,Источник,Строка
"список цен с источником, датой и ценой на ""Бензогенератор сварочный SWATT PG5500WE 5кВт""",57 410 р,,megamarket.ru,"megamarket.ru. На сайте представлена цена 57 410 рублей на генератор SWATT PG5500WE с ручным запуском и мощностью 5,5 кВт."
"список цен с источником, датой и ценой на ""Бензогенератор сварочный SWATT PG5500WE 5кВт""",61 990 р,,satom.ru,satom.ru. На портале есть предложение генератора SWATT PG5500WE с силовой розеткой по цене 61 990 рублей (доставка в Москву).
"список цен с источником, датой и ценой на ""Бензогенератор сварочный SWATT PG5500WE 5кВт""",63 850 р,,swatt.ru,swatt.ru. На сайте указана цена на генератор SWATT PG5500WE — от 63 850 рублей.
"список цен с источником, датой и ценой на ""Набор инструментов Кратон TS-30 multi 131 2 28 09 030 131пред.""",13100р,,dominstrumenta.ru,dominstrumenta.ru. Набор инструментов «Кратон» TS-30 multi 131 (артикул 2 28 09 030) —  13 100 рублей.
"список цен с источником, датой и ценой на ""Набор инструментов Кратон TS-30 multi 131 2 28 09 030 131пред.""",15090р,5 июля 2025,koround.ru,"koround.ru. Набор инструментов «Кратон» TS-30 multi 131 (артикул 2 28 09 030) —  15 090 рублей (с НДС, под заказ, актуально на 5 июля 2025 года)."
"список цен с источником, датой и ценой на ""Набор инструментов Кратон TS-30 multi 131 2 28 09 030 131пред.""",15090р,,yandex.ru,market.yandex.ru. Набор инструментов «Кратон» TS-30 multi 131 (артикул 2 28 09 030) —  15 090 рублей (с возможностью скидки).
"список цен с источником, датой и ценой на ""Набор инструментов Кратон TS-30 multi 131 2 28 09 030 131пред.""",15090р,,vseinstrumenti.ru,vseinstrumenti.ru. Набор инструментов «Кратон» TS-30 multi 131 (артикул 2 28 09 030) —  15 090 рублей.
"список цен с источником, датой и ценой на ""Лист горячекатанный B1500mm L6000mm s5mm Ст3 ГОСТ 19903-2015 353,25кг""",77 641 р,24 июля 2025,metwell.ru,"metwell.ru: цена — от 77 641 рубля за тонну, источник — компания «МетВэл», город — Екатеринбург, дата обновления — 24 июля 2025 года."
"список цен с источником, датой и ценой на ""Лист горячекатанный B1500mm L6000mm s5mm Ст3 ГОСТ 19903-2015 353,25кг""",22 993 р,,ms-gp.ru,"ms-gp.ru: цена за штуку — 22 993 рубля, цена за тонну — 65 090 рублей, цена за килограмм — 65 рублей."
"список цен с источником, датой и ценой на ""Лист горячекатанный B1500mm L6000mm s5mm Ст3 ГОСТ 19903-2015 353,25кг""",26 634 р,,metall-prokat78.ru,"metall-prokat78.ru: цена за тонну — 26 634 рубля, цена за лист — 9 408 рублей, цена за м² — 1 045 рублей."
"список цен с источником, датой и ценой на ""Лист горячекатанный B1500mm L6000mm s5mm Ст3 ГОСТ 19903-2015 353,25кг""",94 856 р,26 июля 2025,pgmi.ru,"pgmi.ru: цена за тонну — от 94 856 рублей, источник — склад в Москве, дата доставки — 26 июля 2025 года."
"список цен с источником, датой и ценой на ""Лист B1500mm L6000mm s8mm Ст3 ГОСТ 19903-2015 565,2кг""",35 608 р,,mmk24.ru,"mmk24.ru. Предлагает лист по цене 35 608 рублей за штуку. Контакты: +7 495 744-62-24, +7 929 675-46-48."
"список цен с источником, датой и ценой на ""Лист B1500mm L6000mm s8mm Ст3 ГОСТ 19903-2015 565,2кг""",44 775 р,16 октября 2024,1metallobaza.ru,"1metallobaza.ru. В интернет-магазине есть горячекатаные листы размером 8×1500×6000 мм. По данным на 16 октября 2024 года, цена за штуку —  44 775 рублей, за тонну —  68 490 рублей."
"список цен с источником, датой и ценой на ""Уголок 75756mm Ст3пс горячекатанный ГОСТ 8509-93""",47850р,,tnmk-kaliningrad.ru,"tnmk-kaliningrad.ru. Цена за тонну — 47 850 рублей, цена за килограмм — 47,85 рублей, цена за метр — 338,06 рублей."
"список цен с источником, датой и ценой на ""Аптечка Астра Люкс автомобильная""",426.94 р,,limroy.ru,"limroy.ru. Аптечка первой помощи «АСТРА ЛЮКС» размером 160х170х60 продавалась в интернет-магазине Limroy по цене 426,94 рубля."
"список цен с источником, датой и ценой на ""Аптечка Астра Люкс автомобильная""",299 р,,enisey-servis.ru,spb.enisey-servis.ru. Автомобильная аптечка «Астра Люкс» (новая комплектация) продавалась в компании «Енисей-сервис» по цене 299 рублей.
"список цен с источником, датой и ценой на ""Кислород технический""",Цен не найдено,,,
"список цен с источником, датой и ценой на ""Кастрюля 3,5л сталь нержавеющая""",Цен не найдено,,,
"список цен с источником, датой и ценой на ""Электрод Inforce MP-3 D3мм""",2622р,,yandex.ru,"market.yandex.ru. Предлагает электрод Inforce МР-3 11-05-01 (диаметр 3 мм, вес 5 кг, синий) по цене 2 622 рубля (на 25 июля). Также есть электрод МР-3 (3 мм; 3 кг; синие) Inforce по цене 3 255 рублей (на 26 июля)."
"список цен с источником, датой и ценой на ""Электрод Inforce MP-3 D3мм""",2047р,,autopiter.ru,autopiter.ru. В интернет-магазине представлен электрод МР-3 (3 мм; 5 кг) Inforce IWET-3050M по цене 2 047 рублей (на 27 июля).
"список цен с источником, датой и ценой на ""Электрод Inforce MP-3 D3мм""",920р,,nprussia.com,nprussia.com. Предлагает электрод МР-3 (3 мм; 1 кг; синие) Inforce 11-05-03 по цене 920 рублей.
"список цен с источником, датой и ценой на ""Сверло D22mm сталь Р6М5 конический хвостовик по металлу""",1 080.71 р,,tdkalibr.ru,"tdkalibr.ru. Сверло HORTZ диаметром 22 мм из сплава Р6М5 —  1 080,71 рубля без НДС, 1 296,85 рубля с НДС."
"список цен с источником, датой и ценой на ""Сверло D22mm сталь Р6М5 конический хвостовик по металлу""",1 042.47 р,,rinscom.com,"rinscom.com. Сверло 22,0 к/х Р6М5 Sekira —  1 042,47 рубля с НДС, 1 582,80 рубля без НДС."
"список цен с источником, датой и ценой на ""Сверло D22mm сталь Р6М5 конический хвостовик по металлу""",2 433 р,,wolfstar.ru,"wolfstar.ru. Сверло по металлу 22,0 мм с коническим хвостовиком Р6М5 (артикул ds20220, производитель «ТРЭЛ») —  2 433 рубля."
"список цен с источником, датой и ценой на ""Сверло D22mm сталь Р6М5 конический хвостовик по металлу""",22.0Р,,sitomo.ru,"sitomo.ru. Сверло по металлу к/х 22.0 Р6М5 HORTZ (артикул 122479) —  1 081 рубль без НДС, 1 297 рублей с НДС."
"список цен с источником, датой и ценой на ""Сверло D30mm сталь Р6М5 конический хвостовик по металлу""",Цен не найдено,,,
"список цен с источником, датой и ценой на ""Перчатки рабочие летние""",Цен не найдено,,,
"список цен с источником, датой и ценой на ""Сверло D16.5mm сталь Р6М5 цилиндрический хвостовик по металлу""",1814р,,sverlolong.ru,"sverlolong.ru — на сайте можно купить сверло с цилиндрическим хвостовиком диаметром 16,5 мм (Р6М5/М2 А1 вышлифованное) —  1814 рублей."
"список цен с источником, датой и ценой на ""Сверло D16.5mm сталь Р6М5 цилиндрический хвостовик по металлу""",1373р,,cncmagazine.ru,"cncmagazine.ru — на сайте представлено кобальтовое сверло диаметром 16,5 мм (16,5x125x184 HSS-E Р6М5К5 М35) —  от 1373 рублей с НДС (за 1 шт.)."
"список цен с источником, датой и ценой на ""Наклейка опасный груз 3/2002 (дизельное топливо В400 * L300mm""",Цен не найдено,,,
"список цен с источником, датой и ценой на ""Наклейка Знак опасности АК 315 / В250*""",150р,,азсоборудование.рф,"азсоборудование.рф. На сайте представлена наклейка знака опасности АК 315 по цене 150 рублей. Контакты компании: +7 (391) 241-48-71, +7 (391) 296-26-25."
"список цен с источником, датой и ценой на ""Наклейка Знак опасности АК 315 / В250*""",3р,,aceplomb-ural.ru,"aceplomb-ural.ru. На сайте представлена аварийная карточка АК 315/3 размером 250×250 мм по цене 125 рублей за штуку. Контакты компании: 8 (800) 7758-207, e-mail: info@aceplomb-ural.ru."
"список цен с источником, датой и ценой на ""Труба ГОСТ D108mm s3,5mm прямошовная электросварная ГОСТ 10704-91""",Цен не найдено,,,
"список цен с источником, датой и ценой на ""Кисть КМ 80""",875р,,yandex.ru,"market.yandex.ru. Кисть маховая КМ 80, натуральная щетина, пластиковый корпус, пластиковая ручка, Россия, Matrix, 84007, 30 июля —  875 рублей за штуку."
"список цен с источником, датой и ценой на ""Кисть КМ 80""",565р,,terra-tools.ru,"terra-tools.ru. Кисть маховая КМ 80, натуральная щетина, пластиковый корпус, пластиковая ручка, Россия, Matrix, 84007, 14 июля —  565 рублей за штуку."
"список цен с источником, датой и ценой на ""Кисть КМ 80""",609р,,matrix-rus.ru,"matrix-rus.ru. Кисть маховая КМ 80, натуральная щетина, пластиковый корпус, пластиковая ручка, Россия, Matrix, 84007, в наличии —  609 рублей."
"список цен с источником, датой и ценой на ""Кисть КМ 80""",84007.552р,,matrix-tools.su,"matrix-tools.su. Кисть маховая КМ 80, натуральная щетина, пластиковый корпус, пластиковая ручка, Matrix, Россия, 84007, 552 рубля."
"список цен с источником, датой и ценой на ""Известь гашеная Movatex T02369 5кг""",272.06 р,,ЮниМаг.РФ,"272,06 рубля — на сайте «ЮниМаг.РФ»."
"список цен с источником, датой и ценой на ""Известь гашеная Movatex T02369 5кг""",739 р,19 июня 2025,boxberry.ru,"boxberry.ru — каталог товаров MovateX, где, по данным на 19 июня 2025 года, известь негашёная 5 кг Т02369 стоила 739 рублей."
"список цен с источником, датой и ценой на ""Известь гашеная Movatex T02369 5кг""",1012 р,37 до 1012,ozon.ru,ozon.ru — на сайте представлена известь негашёная 5 кг Т02369 с возможностью выбора цены: от 637 до 1012 рублей.
"список цен с источником, датой и ценой на ""Строп канатный УСК1 4т L5m 1-вет.""",8 011 р,,ropesystems.ru,"ropesystems.ru. Интернет-магазин предлагает строп канатный петлевой УСК1 4 т, 5 м оцинкованный по цене 8 011 рублей за штуку."
"список цен с источником, датой и ценой на ""Строп канатный УСК1 4т L5m 1-вет.""",3604 р,,drop20.ru,"drop20.ru. В онлайн-каталоге представлена модель УСК1 4 т, 5 м канатная петлевая по цене 3604 рубля."
"список цен с источником, датой и ценой на ""Лист горячекатанный B1250mm L2500mm s3mm Ст3 ГОСТ 19903-2015 73,59кг""",94 856 р,,pgmi.ru,pgmi.ru. Предлагает лист горячекатаный 3х1250х2500 со склада в Москве по цене от 94 856 рублей за тонну.
"список цен с источником, датой и ценой на ""Лист горячекатанный B1250mm L2500mm s3mm Ст3 ГОСТ 19903-2015 73,59кг""",75 300 р,,rmz-metall.ru,rmz-metall.ru. Предлагает лист горячекатаный 3х1250х2500 по цене от 75 300 рублей за тонну.
"список цен с источником, датой и ценой на ""Резьба DN50мм""",56.59р,,etm.ru,"etm.ru. В интернет-магазине есть резьба стальная оцинкованная правая Ду50 из ВГП труб 3262-75 по цене 53,77 и 56,59 рубля за штуку."
"список цен с источником, датой и ценой на ""Резьба DN50мм""",218р,,yandex.ru,"market.yandex.ru. На сайте представлена резьба стальная оцинкованная АС Ду 50, ГОСТ 3262-75, L=47 мм по цене 218 рублей за штуку, а также чёрная резьба под приварку Ду 50 по цене 475 рублей."
"список цен с источником, датой и ценой на ""Резьба DN50мм""",50Р,1 августа 2025,DN.ru,"DN.ru. На сайте есть резьба стальная 2″ Ду50 Ру16 L=45 мм по цене 61,44 рубля за штуку на 1 августа 2025 года."
