Запрос,Цена,Дата,Источник,Строка
"список цен с источником, датой и ценой на ""Очиститель Технониколь Professional TN528382 0,5л""",240 р,,chipdip.ru,chipdip.ru
"список цен с источником, датой и ценой на ""(эталон код НМК 000000006995) Ремень 14*10-987 вентиляторный""",98.26 р,,rti63.ru,rti63.ru. Предлагает вентиляторный ремень 14х10-987 по разным ценам в зависимости от объёма покупки:
"список цен с источником, датой и ценой на ""(эталон код НМК 000000006995) Ремень 14*10-987 вентиляторный""","98.26 р, 50 000 р, 85.16 р",,rti63.ru,rti63.ru
"список цен с источником, датой и ценой на ""(эталон код НМК 000000006995) Ремень 14*10-987 вентиляторный""","50 000 р, 85.16 р, 200 000 р, 78.61 р",,rti63.ru,rti63.ru
"список цен с источником, датой и ценой на ""(эталон код НМК 000000006995) Ремень 14*10-987 вентиляторный""","200 000 р, 78.61 р, 89.39 р",,rti63.ru,rti63.ru
"список цен с источником, датой и ценой на ""(эталон код НМК 000000006995) Ремень 14*10-987 вентиляторный""","72.80 р, 67.40 р",,kirelis.ru,"kirelis.ru. Предлагает клиновой ремень 14*10-987 HIMPT по цене 72,80 руб. за шт. (оптовая цена: 67,40 руб.). Цены указаны в рублях с учётом НДС (20%)."
"список цен с источником, датой и ценой на ""(эталон код НМК 000000006995) Ремень 14*10-987 вентиляторный""","72.80 р, 67.40 р",,kirelis.ru,kirelis.ru
"список цен с источником, датой и ценой на ""Бензин АИ-92 (л)""",Цен не найдено,,,
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""",185р,,inter-safety.ru,"inter-safety.ru. Интернет-магазин средств защиты, спецодежды и рабочей обуви, предлагает рукавицы по цене 185 рублей (с учётом скидки 5%)."
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""",185р,,inter-safety.ru,inter-safety.ru
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""",185р,,spets.ru,spets.ru. На сайте есть информация о цене оптом —  185 рублей.
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""","185р, 283р, 202р",,spets.ru,spets.ru
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""","283р, 202р",,tkspecodegda.ru,"tkspecodegda.ru. Компания предлагает рукавицы по цене: розница —  283 рубля, опт —  202 рубля."
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""","283р, 202р, 310р",,tkspecodegda.ru,tkspecodegda.ru
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""",310р,,vseinstrumenti.ru,vseinstrumenti.ru. На сайте есть цена 310 рублей за суконные рукавицы ГК «Спецобъединение» ОП РУК 018.
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""","310р, 228р, 297р",,vseinstrumenti.ru,vseinstrumenti.ru
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""","228р, 297р",,nks-co.ru,"nks-co.ru. Интернет-магазин предлагает рукавицы по цене 228 рублей за штуку (розничная цена, старая — 297 рублей)."
"список цен с источником, датой и ценой на ""Рукавицы Спецобъединение РУК 018 всесезонные сукно шинельное""","228р, 297р",,nks-co.ru,nks-co.ru
"список цен с источником, датой и ценой на ""Стартер редукторный StartVOLT LSt 0306 3M3-406, 409 ГАЗ, УАЗ 12В""",10 130 р,,avtoall.ru,avtoall.ru
"список цен с источником, датой и ценой на ""Стартер редукторный StartVOLT LSt 0306 3M3-406, 409 ГАЗ, УАЗ 12В""",8 419 р,,avtoall.ru,avtoall.ru
"список цен с источником, датой и ценой на ""Стартер редукторный StartVOLT LSt 0306 3M3-406, 409 ГАЗ, УАЗ 12В""",8 419 р,24 июля 2025,bazashop.ru,"bazashop.ru. По состоянию на 24 июля 2025 года цена стартера STARTVOLT LSt0306 (406-3708000, 11.131.568) —  8 419 рублей."
"список цен с источником, датой и ценой на ""Стартер редукторный StartVOLT LSt 0306 3M3-406, 409 ГАЗ, УАЗ 12В""","8 419 р, 8 600 р",,bazashop.ru,bazashop.ru
"список цен с источником, датой и ценой на ""Стартер редукторный StartVOLT LSt 0306 3M3-406, 409 ГАЗ, УАЗ 12В""",8 600 р,,uaz-motors.ru,uaz-motors.ru. На сайте есть информация о продаже стартера STARTVOLT LSt0306 по цене 8 600 рублей.
"список цен с источником, датой и ценой на ""Стартер редукторный StartVOLT LSt 0306 3M3-406, 409 ГАЗ, УАЗ 12В""",8 600 р,,uaz-motors.ru,uaz-motors.ru
"список цен с источником, датой и ценой на ""Бензогенератор сварочный SWATT PG5500WE 5кВт""",57 410 р,,megamarket.ru,megamarket.ru. На сайте представлена модель SWATT PG5500WE с ценой 57 410 рублей.
"список цен с источником, датой и ценой на ""Бензогенератор сварочный SWATT PG5500WE 5кВт""","57 410 р, 61 990 р",,megamarket.ru,megamarket.ru
"список цен с источником, датой и ценой на ""Бензогенератор сварочный SWATT PG5500WE 5кВт""",61 990 р,,satom.ru,satom.ru. На ресурсе есть предложение генератора SWATT PG5500WE с силовой розеткой по цене 61 990 рублей (доставка в Москву).
"список цен с источником, датой и ценой на ""Бензогенератор сварочный SWATT PG5500WE 5кВт""","61 990 р, 63 850 р",,satom.ru,satom.ru
"список цен с источником, датой и ценой на ""Бензогенератор сварочный SWATT PG5500WE 5кВт""",63 850 р,,swatt.ru,swatt.ru. На сайте указана цена генератора SWATT PG5500WE — от 63 850 рублей.
"список цен с источником, датой и ценой на ""Бензогенератор сварочный SWATT PG5500WE 5кВт""",63 850 р,,swatt.ru,swatt.ru
"список цен с источником, датой и ценой на ""Набор инструментов Кратон TS-30 multi 131 2 28 09 030 131пред.""",13100р,,dominstrumenta.ru,dominstrumenta.ru. Набор инструментов «Кратон» TS-30 multi 131 (артикул 2 28 09 030) —  13 100 рублей.
"список цен с источником, датой и ценой на ""Набор инструментов Кратон TS-30 multi 131 2 28 09 030 131пред.""","13100р, 15090р",,dominstrumenta.ru,dominstrumenta.ru
"список цен с источником, датой и ценой на ""Набор инструментов Кратон TS-30 multi 131 2 28 09 030 131пред.""",15090р,5 июля 2025,koround.ru,"koround.ru. Набор инструментов «Кратон» TS-30 multi 131 (артикул 2 28 09 030) —  15 090 рублей (с НДС, под заказ, актуально на 5 июля 2025 года)."
"список цен с источником, датой и ценой на ""Набор инструментов Кратон TS-30 multi 131 2 28 09 030 131пред.""",15090р,,koround.ru,koround.ru
"список цен с источником, датой и ценой на ""Набор инструментов Кратон TS-30 multi 131 2 28 09 030 131пред.""",15090р,,yandex.ru,market.yandex.ru. Набор инструментов «Кратон» TS-30 multi 131 (артикул 2 28 09 030) —  от 15 090 рублей (с возможностью скидки).
"список цен с источником, датой и ценой на ""Набор инструментов Кратон TS-30 multi 131 2 28 09 030 131пред.""",15090р,,yandex.ru,market.yandex.ru
"список цен с источником, датой и ценой на ""Набор инструментов Кратон TS-30 multi 131 2 28 09 030 131пред.""",15090р,,vseinstrumenti.ru,vseinstrumenti.ru. Набор инструментов «Кратон» TS-30 multi 131 (артикул 2 28 09 030) —  15 090 рублей.
"список цен с источником, датой и ценой на ""Набор инструментов Кратон TS-30 multi 131 2 28 09 030 131пред.""",15090р,,vseinstrumenti.ru,vseinstrumenti.ru
"список цен с источником, датой и ценой на ""Лист горячекатанный B1500mm L6000mm s5mm Ст3 ГОСТ 19903-2015 353,25кг""",77 641 р,24 июля 2025,metwell.ru,"metwell.ru: от 77 641 рубля за тонну, цена обновлена 24 июля 2025 года, предложение от компании «МетВэл», город Екатеринбург."
"список цен с источником, датой и ценой на ""Лист горячекатанный B1500mm L6000mm s5mm Ст3 ГОСТ 19903-2015 353,25кг""","77 641 р, 22 993 р, .65 090 р, 65 р",,metwell.ru,metwell.ru
"список цен с источником, датой и ценой на ""Лист горячекатанный B1500mm L6000mm s5mm Ст3 ГОСТ 19903-2015 353,25кг""","22 993 р, .65 090 р, 65 р",,ms-gp.ru,"ms-gp.ru: 22 993 рубля за штуку, 65 090 рублей за тонну, цена за килограмм — 65 рублей."
"список цен с источником, датой и ценой на ""Лист горячекатанный B1500mm L6000mm s5mm Ст3 ГОСТ 19903-2015 353,25кг""","22 993 р, .65 090 р, 65 р, 26 634 р, 9 408 р, 1 045 р",,Ms-Gp.ru,Ms-Gp.ru
"список цен с источником, датой и ценой на ""Лист горячекатанный B1500mm L6000mm s5mm Ст3 ГОСТ 19903-2015 353,25кг""","26 634 р, 9 408 р, 1 045 р",,metall-prokat78.ru,"metall-prokat78.ru: 26 634 рубля за тонну, цена за лист — 9 408 рублей, за м² — 1 045 рублей."
"список цен с источником, датой и ценой на ""Лист горячекатанный B1500mm L6000mm s5mm Ст3 ГОСТ 19903-2015 353,25кг""","26 634 р, 9 408 р, 1 045 р, 94 856 р",,metall-prokat78.ru,metall-prokat78.ru
"список цен с источником, датой и ценой на ""Лист горячекатанный B1500mm L6000mm s5mm Ст3 ГОСТ 19903-2015 353,25кг""",94 856 р,26 июля 2025,pgmi.ru,"pgmi.ru: от 94 856 рублей за тонну, предложение со склада в Москве, доставка запланирована на 26 июля 2025 года."
"список цен с источником, датой и ценой на ""Лист горячекатанный B1500mm L6000mm s5mm Ст3 ГОСТ 19903-2015 353,25кг""",94 856 р,,pgmi.ru,pgmi.ru
"список цен с источником, датой и ценой на ""Лист B1500mm L6000mm s8mm Ст3 ГОСТ 19903-2015 565,2кг""",35608р,,mmk24.ru,mmk24.ru. На сайте представлен лист с артикулом 109 077 по цене 35 608 рублей за 1 шт..
"список цен с источником, датой и ценой на ""Лист B1500mm L6000mm s8mm Ст3 ГОСТ 19903-2015 565,2кг""","35608р, 73490р",,mmk24.ru,mmk24.ru
"список цен с источником, датой и ценой на ""Лист B1500mm L6000mm s8mm Ст3 ГОСТ 19903-2015 565,2кг""",73490р,28 марта 2025,novametcom.ru,"novametcom.ru. По данным на 28 марта 2025 года, цена горячекатаного листа Ст3 размером 8х1500х6000 мм начинается от 73 490 рублей за тонну."
"список цен с источником, датой и ценой на ""Лист B1500mm L6000mm s8mm Ст3 ГОСТ 19903-2015 565,2кг""","73490р, 65950р",,novametcom.ru,novametcom.ru
"список цен с источником, датой и ценой на ""Лист B1500mm L6000mm s8mm Ст3 ГОСТ 19903-2015 565,2кг""",65950р,89 ГОСТ 1990,stvybor.ru,stvybor.ru. Компания предлагает лист стальной 8х1500х6000 г/к ГОСТ 14637-89 ГОСТ 19903 по цене 65 950 рублей за тонну.
"список цен с источником, датой и ценой на ""Лист B1500mm L6000mm s8mm Ст3 ГОСТ 19903-2015 565,2кг""",65950р,,stvybor.ru,stvybor.ru
"список цен с источником, датой и ценой на ""Уголок 75756mm Ст3пс горячекатанный ГОСТ 8509-93""","47850р, 47.85р, 338.06р",,tnmk-kaliningrad.ru,"tnmk-kaliningrad.ru. Цена за тонну —  47 850 рублей, за килограмм —  47,85 рублей, цена за метр —  338,06 рублей."
"список цен с источником, датой и ценой на ""Уголок 75756mm Ст3пс горячекатанный ГОСТ 8509-93""","47850р, 47.85р, 338.06р",,tnmk-kaliningrad.ru,tnmk-kaliningrad.ru
"список цен с источником, датой и ценой на ""Аптечка Астра Люкс автомобильная""",426.94 р,,limroy.ru,"limroy.ru. Аптечка первой помощи «АСТРА ЛЮКС» размером 160х170х60 —  426,94 рубля."
"список цен с источником, датой и ценой на ""Аптечка Астра Люкс автомобильная""","426.94 р, 230 р",,limroy.ru,limroy.ru
"список цен с источником, датой и ценой на ""Аптечка Астра Люкс автомобильная""",230 р,17 июля 2025,maslomarket70.ru,"maslomarket70.ru. Аптечка «Астра Люкс» (новая комплектация) —  230 рублей, доставка запланирована на 17 июля 2025 года после 12:00."
"список цен с источником, датой и ценой на ""Аптечка Астра Люкс автомобильная""","230 р, 108.10 р",,maslomarket70.ru,maslomarket70.ru
"список цен с источником, датой и ценой на ""Аптечка Астра Люкс автомобильная""",108.10 р,,avtomtool.ru,"avtomtool.ru. Аптечка атомобильной первой помощи «АСТРА ЛЮКС» —  108,10 рубля, доступна под заказ."
"список цен с источником, датой и ценой на ""Аптечка Астра Люкс автомобильная""","108.10 р, 299 р",,avtomtool.ru,avtomtool.ru
"список цен с источником, датой и ценой на ""Аптечка Астра Люкс автомобильная""",299 р,,enisey-servis.ru,spb.enisey-servis.ru. Аптечка «Астра Люкс» (новая комплектация) —  299 рублей.
"список цен с источником, датой и ценой на ""Аптечка Астра Люкс автомобильная""",299 р,,enisey-servis.ru,spb.enisey-servis.ru
"список цен с источником, датой и ценой на ""Кислород технический""",359.11 р,,regtorg.ru,regtorg.ru
"список цен с источником, датой и ценой на ""Кастрюля 3,5л сталь нержавеющая""",2273р,,vseinstrumenti.ru,vseinstrumenti.ru
"список цен с источником, датой и ценой на ""Электрод Inforce MP-3 D3мм""",1653р,,yandex.ru,market.yandex.ru
"список цен с источником, датой и ценой на ""Сверло D22mm сталь Р6М5 конический хвостовик по металлу""","1 080.71 р, .1 296.85 р",,tdkalibr.ru,"tdkalibr.ru. Сверло HORTZ (код 122479) —  1 080,71 рубля без НДС, 1 296,85 рубля с НДС."
"список цен с источником, датой и ценой на ""Сверло D22mm сталь Р6М5 конический хвостовик по металлу""","1 080.71 р, .1 296.85 р, 1 296.86 р",,tdkalibr.ru,tdkalibr.ru
"список цен с источником, датой и ценой на ""Сверло D22mm сталь Р6М5 конический хвостовик по металлу""",1 296.86 р,,etm.ru,"etm.ru. Сверло HORTZ (код товара: 619449) —  1 296,86 рубля."
"список цен с источником, датой и ценой на ""Сверло D22mm сталь Р6М5 конический хвостовик по металлу""","1 296.86 р, 1 582.80 р",,etm.ru,etm.ru
"список цен с источником, датой и ценой на ""Сверло D22mm сталь Р6М5 конический хвостовик по металлу""",1 582.80 р,,rinscom.com,"rinscom.com. Сверло Sekira (арт: 00000036255) —  от 1 042,47 до 1 582,80 рубля (цены с НДС)."
"список цен с источником, датой и ценой на ""Сверло D22mm сталь Р6М5 конический хвостовик по металлу""","1 582.80 р, 2 433.00 р",,rinscom.com,rinscom.com
"список цен с источником, датой и ценой на ""Сверло D22mm сталь Р6М5 конический хвостовик по металлу""",2 433.00 р,,wolfstar.ru,"wolfstar.ru. Сверло по металлу 22,0 мм с коническим хвостовиком Р6М5 (артикул: ds20220) —  2 433,00 рубля."
"список цен с источником, датой и ценой на ""Сверло D22mm сталь Р6М5 конический хвостовик по металлу""",2 433.00 р,,wolfstar.ru,wolfstar.ru
"список цен с источником, датой и ценой на ""Сверло D30mm сталь Р6М5 конический хвостовик по металлу""",10191р,6 марта 2025,dvt-spb.ru,"dvt-spb.ru. Сверло d 30,0 к/х Р6М5, производитель Cnic (Китай) —  10 191 рубль (по данным на 6 марта 2025 года)."
"список цен с источником, датой и ценой на ""Сверло D30mm сталь Р6М5 конический хвостовик по металлу""","10191р, 30.0Р, 1430р",,dvt-spb.ru,dvt-spb.ru
"список цен с источником, датой и ценой на ""Сверло D30mm сталь Р6М5 конический хвостовик по металлу""","30.0Р, 1430р",,biface.ru,"biface.ru. Сверло к/х 30,0 Р6М5 (общая длина 296 мм, длина рабочей части 175 мм) —  1 430 рублей за штуку."
"список цен с источником, датой и ценой на ""Сверло D30mm сталь Р6М5 конический хвостовик по металлу""","30.0Р, 1430р, 2987р",,biface.ru,biface.ru
"список цен с источником, датой и ценой на ""Сверло D30mm сталь Р6М5 конический хвостовик по металлу""",2987р,,stankoopt.ru,"stankoopt.ru. Сверло 30 мм (к/х, Р6М5, КМ3, Beltools) —  2 987 рублей."
"список цен с источником, датой и ценой на ""Сверло D30mm сталь Р6М5 конический хвостовик по металлу""","2987р, 2824р",,stankoopt.ru,stankoopt.ru
"список цен с источником, датой и ценой на ""Сверло D30mm сталь Р6М5 конический хвостовик по металлу""",2824р,,rinscom.com,"rinscom.com. Сверло 30,0 к/х Р6М5 2301-0106 (длина 296 мм, длина режущей части 175 мм) —  2 824 рубля (с НДС)."
"список цен с источником, датой и ценой на ""Сверло D30mm сталь Р6М5 конический хвостовик по металлу""","2824р, 30.0Р, 2334р, .2800р",,rinscom.com,rinscom.com
"список цен с источником, датой и ценой на ""Сверло D30mm сталь Р6М5 конический хвостовик по металлу""","30.0Р, 2334р, .2800р",,sitomospb.ru,"sitomospb.ru. Сверло по металлу к/х 30.0 Р6М5 HORTZ (конус Морзе 3) —  2 334 рубля (без НДС), 2 800 рублей (с НДС)."
"список цен с источником, датой и ценой на ""Сверло D30mm сталь Р6М5 конический хвостовик по металлу""","30.0Р, 2334р, .2800р, 2332р, .2798р",,sitomospb.ru,sitomospb.ru
"список цен с источником, датой и ценой на ""Сверло D30mm сталь Р6М5 конический хвостовик по металлу""","30.0Р, 2332р, .2798р",,hortz.ru,"hortz.ru. Сверло по металлу к/х 30.0 Р6М5 HORTZ (конус Морзе 3) —  2 332 рубля (без НДС), 2 798 рублей (с НДС)."
"список цен с источником, датой и ценой на ""Сверло D30mm сталь Р6М5 конический хвостовик по металлу""","30.0Р, 2332р, .2798р",,hortz.ru,hortz.ru
"список цен с источником, датой и ценой на ""Перчатки рабочие летние""",76.29 р,,alibaba.com,"Возможно, имелись в виду цены на летние рабочие перчатки, представленные на сайте russian.alibaba.com. Некоторые модели и цены:"
"список цен с источником, датой и ценой на ""Перчатки рабочие летние""",305.15 р,,alibaba.com,russian.alibaba.com
"список цен с источником, датой и ценой на ""Сверло D16.5mm сталь Р6М5 цилиндрический хвостовик по металлу""","2135р, 1814р",,yandex.ru,market.yandex.ru
"список цен с источником, датой и ценой на ""Сверло D16.5mm сталь Р6М5 цилиндрический хвостовик по металлу""","1814р, 1373р",,sverlolong.ru,sverlolong.ru
"список цен с источником, датой и ценой на ""Сверло D16.5mm сталь Р6М5 цилиндрический хвостовик по металлу""","1373р, 1258р",,cncmagazine.ru,cncmagazine.ru
"список цен с источником, датой и ценой на ""Сверло D16.5mm сталь Р6М5 цилиндрический хвостовик по металлу""",1258р,,torneri.ru,torneri.ru
"список цен с источником, датой и ценой на ""Наклейка опасный груз 3/2002 (дизельное топливо В400 * L300mm""",530р,,as-techcom.ru,as-techcom.ru. Предлагает табличку с выдавленными цифрами и светоотражающим фоном по цене 530 рублей с НДС.
"список цен с источником, датой и ценой на ""Наклейка опасный груз 3/2002 (дизельное топливо В400 * L300mm""","530р, 600р",,as-techcom.ru,as-techcom.ru
"список цен с источником, датой и ценой на ""Наклейка опасный груз 3/2002 (дизельное топливо В400 * L300mm""","1753р, 1335р",,yandex.ru,"market.yandex.ru. На сайте представлена табличка 30/1202 «Дизельное топливо Опасный груз ДОПОГ», оранжевая, рельефная, стальная, по цене 1 753 рубля (по состоянию на 24 июля) и 1 335 рублей (по состоянию на 25 июля)."
"список цен с источником, датой и ценой на ""Наклейка опасный груз 3/2002 (дизельное топливо В400 * L300mm""","1753р, 1335р",,yandex.ru,market.yandex.ru
"список цен с источником, датой и ценой на ""Наклейка Знак опасности АК 315 / В250*""","315р, 150р",,азсоборудование.рф,"азсоборудование.рф. На сайте представлена наклейка АК 315 по цене 150 рублей. Контакты компании: +7 (391) 241-48-71, +7 (391) 296-26-25."
"список цен с источником, датой и ценой на ""Наклейка Знак опасности АК 315 / В250*""",150р,,азсоборудование.рф,азсоборудование.рф
"список цен с источником, датой и ценой на ""Наклейка Знак опасности АК 315 / В250*""",125р,,auto-praid.ru,auto-praid.ru
"список цен с источником, датой и ценой на ""Наклейка Знак опасности АК 315 / В250*""",125р,,aceplomb-ural.ru,"aceplomb-ural.ru. На сайте представлена аварийная карточка АК 315/3 размером 250×250 мм по цене 125 рублей за штуку. Контакты компании: 8 (800) 7758-207, e-mail: info@aceplomb-ural.ru."
"список цен с источником, датой и ценой на ""Наклейка Знак опасности АК 315 / В250*""",125р,,aceplomb-ural.ru,aceplomb-ural.ru
"список цен с источником, датой и ценой на ""Труба ГОСТ D108mm s3,5mm прямошовная электросварная ГОСТ 10704-91""",88590р,,metal100.ru,metal100.ru
"список цен с источником, датой и ценой на ""Кисть КМ 80""",486 р,6 июля 2025,moi-instrumenty.ru,"moi-instrumenty.ru. На сайте указаны актуальные цены с НДС, информация о наличии и количестве товара на складе обновляется каждый час. По данным на 6 июля 2025 года, цена кисти —  486 рублей с НДС 20%."
"список цен с источником, датой и ценой на ""Кисть КМ 80""","486 р, 565 р",,moi-instrumenty.ru,moi-instrumenty.ru
"список цен с источником, датой и ценой на ""Кисть КМ 80""",565 р,14 июля 2025,terra-tools.ru,"terra-tools.ru. На сайте есть предложение кисти Matrix KM 80 по цене 565 рублей за штуку, с возможностью самовывоза 14 июля 2025 года."
"список цен с источником, датой и ценой на ""Кисть КМ 80""","565 р, 609 р",,terra-tools.ru,terra-tools.ru
"список цен с источником, датой и ценой на ""Кисть КМ 80""",609 р,,matrix-rus.ru,matrix-rus.ru. Официальный партнёр бренда Matrix предлагает кисть Matrix KM 80 по цене 609 рублей.
"список цен с источником, датой и ценой на ""Кисть КМ 80""",609 р,,matrix-rus.ru,matrix-rus.ru
"список цен с источником, датой и ценой на ""Известь гашеная Movatex T02369 5кг""",739р,,boxberry.ru,"boxberry.ru. На сайте представлен каталог товаров MovateX, в том числе негашёная известь Т02369 по цене 739 рублей."
"список цен с источником, датой и ценой на ""Известь гашеная Movatex T02369 5кг""","739р, 1012р",,boxberry.ru,boxberry.ru
"список цен с источником, датой и ценой на ""Известь гашеная Movatex T02369 5кг""",1012р,37 до 1012,OZON.ru,OZON.ru. На маркетплейсе есть карточка товара «Известь негашёная Movatex 5 кг Т02369 (комовая)» с возможностью выбора цены: от 637 до 1012 рублей.
"список цен с источником, датой и ценой на ""Известь гашеная Movatex T02369 5кг""","1012р, 225р",,OZON.ru,OZON.ru
"список цен с источником, датой и ценой на ""Известь гашеная Movatex T02369 5кг""",225р,,nikos-instrument.ru,nikos-instrument.ru. Интернет-магазин предлагает негашёную известь Movatex Т02369 по цене 225 рублей.
"список цен с источником, датой и ценой на ""Известь гашеная Movatex T02369 5кг""","225р, 272.06р",,nikos-instrument.ru,nikos-instrument.ru
"список цен с источником, датой и ценой на ""Известь гашеная Movatex T02369 5кг""",272.06р,,yunimag.ru,"yunimag.ru. На сайте есть карточка товара «Известь негашёная Movatex 5 кг Т02369», где указано, что товар доступен под заказ по цене 272,06 рубля."
"список цен с источником, датой и ценой на ""Известь гашеная Movatex T02369 5кг""",272.06р,,yunimag.ru,yunimag.ru
"список цен с источником, датой и ценой на ""Строп канатный УСК1 4т L5m 1-вет.""","8 011 р, 3604 р",,ropesystems.ru,"ropesystems.ru. Интернет-магазин предлагает строп канатный петлевой УСК1 4 т, 5 м оцинкованный по цене 8 011 руб./шт.."
"список цен с источником, датой и ценой на ""Строп канатный УСК1 4т L5m 1-вет.""","8 011 р, 3604 р",,drop20.ru,"drop20.ru. В онлайн-каталоге представлена модель УСК1 4 т, 5 м канатная петлевая по цене 3604 руб./шт.."
